,baseline,spatial_fixed,feature_fixed,full_fixed,spatial,feature,full
baseline,0.0,-0.1874642818337574,53.66432856376886,64.99758171909124,48.84942155437841,62.30442118254145,71.43145281854424
spatial_fixed,0.18711351083445768,0.0,53.7510288653619,65.06307597281362,48.94513119752014,62.374954703496165,71.48490843016985
feature_fixed,-115.81644745911082,-116.22102621241916,0.0,24.459024341364373,-10.39136125612619,18.646740947011843,38.34437638230225
full_fixed,-185.6945460095329,-186.23012123844788,-32.378486150209376,0.0,-46.134412871468605,-7.694212768203881,18.381218828420764
spatial,-95.50121042386733,-95.86770536396475,9.413201484141966,31.56984858319838,0.0,26.30468713558558,44.14814445974036
feature,-165.28309986763063,-165.7804109256238,-22.92070553051425,7.14449975577105,-35.69384010076907,0.0,24.21247244988755
full,-250.0353005871835,-250.6914917495939,-62.1912067909014,-22.520820042362203,-79.04508101421463,-31.947832621769734,0.0
