,baseline,spatial_fixed,feature_fixed,full_fixed,spatial,feature,full
baseline,0.0,-20.713152527675437,580.6939646994679,618.5968644344875,460.48480275600133,661.5641999799673,726.2853124310193
spatial_fixed,26.124323501329094,0.0,758.5206580915795,806.3254339697602,606.9076658037653,860.5176952530426,942.1467604944667
feature_fixed,-85.30911023367882,-88.35205663864959,0.0,5.568273218310985,-17.659795470133172,11.880557118822747,21.38866440454358
full_fixed,-86.08399160234343,-88.96643564751416,-5.274570710080686,0.0,-22.00288778088606,5.979338022758231,14.985933466503386
spatial,-82.15830304260123,-85.85388094691287,21.447354388982028,28.20987489777095,0.0,35.87597669646412,47.42332144743813
feature,-86.86913066519796,-89.58894765872526,-10.61896492542936,-5.6419846871228945,-26.403472908686528,0.0,8.498444707977946
full,-87.89764280018613,-90.40442250642768,-17.619984954495475,-13.032840639476085,-32.16812711979651,-7.832780212519534,0.0
