,baseline,spatial_fixed,feature_fixed,full_fixed,spatial,feature,full
baseline,0.0,2.524504905869409,-1139.1259151905188,-1546.2327081033864,-980.9806684995963,-1424.1705348074913,-1780.808745334695
spatial_fixed,-2.462342937610113,0.0,-1113.5390716049485,-1510.621499153995,-959.287903227086,-1391.5649151617451,-1739.421469899213
feature_fixed,-109.62347281865887,-109.86641786208094,0.0,39.17781155888374,-15.219064829301972,27.431191489888988,61.75217274092588
full_fixed,-106.91451655322757,-107.08907386283096,-28.14946658527411,0.0,-39.084445845860515,-8.440009177773971,16.2197989242641
spatial,-111.3509868690207,-111.63754308939372,17.951046185867014,64.16168479229792,0.0,50.306423529439606,90.78837997629289
feature,-107.55189738567456,-107.74254540566216,-21.526277176860198,9.218010074030254,-33.46924392728059,0.0,26.932951697120473
full,-105.94951687855998,-106.09971272403476,-38.17702828624917,-13.95614092813386,-47.585906430765924,-21.218250530710268,0.0
